Name,Country,Overall_Score,Rank,A_Score,B_Score,C_Score,Time,PlaceCat,Region,Event,Gender,B_Score_Cat,A_Ded_Cnt,Nandu_Miss,Nandu_Total,Nandu_Completed
Chen Ming Wang,TPE,9.67,3,5,2.67,2,1.34,Top10,Asia,Gunshu (Staff),M,Superior,0,0,12,100%
Hibiki Betto,JPN,9.66,4,5,2.66,2,1.3,Top10,Asia,Gunshu (Staff),M,Superior,0,0,12,100%
Hasung Lee,KOR,9.65,5,5,2.65,2,1.28,Top10,Asia,Gunshu (Staff),M,Superior,0,0,12,100%
Tsz Hong Lau,HKG,9.62,6,5,2.62,2,1.28,Top10,Asia,Gunshu (Staff),M,Superior,0,0,12,100%
Sergey Badrutdinov,RUS,9.59,7,4.9,2.69,2,1.29,Top10,Russia,Gunshu (Staff),M,Superior,1,0,11,100%
Illias Khusnutdinov,RUS,9.59,8,4.9,2.69,2,1.3,Top10,Russia,Gunshu (Staff),M,Superior,1,0,11,100%
Yi Xiang Yong,SGP,9.57,9,4.9,2.67,2,1.32,Top10,Asia,Gunshu (Staff),M,Superior,1,0,12,100%
Luis Felipe Alvarez Rosas,MEX,9.55,10,5,2.55,2,1.33,Top10,America,Gunshu (Staff),M,Superior,0,0,11,100%
Xuan Hiep Tran,VIE,9.54,11,4.9,2.64,2,1.24,Top20,Asia,Gunshu (Staff),M,Superior,1,0,10,100%
Amir Mohammadrezaei Arrehkamar,IRI,9.53,12,4.9,2.63,2,1.34,Top20,MiddleEast,Gunshu (Staff),M,Superior,1,0,12,100%
Luis Alberto Carachure De Jesus,MEX,9.51,13,5,2.51,2,1.38,Top20,America,Gunshu (Staff),M,Superior,0,0,12,100%
Norlence Ardee Catolico,PHI,9.46,14,4.9,2.56,2,1.28,Top20,Asia,Gunshu (Staff),M,Superior,1,0,12,100%
Eric Anthony Luong,CAN,9.34,15,4.8,2.59,1.95,1.28,Top20,America,Gunshu (Staff),M,Superior,2,2,13,85%
Domenico Giordano,ITA,9.33,16,4.8,2.53,2,1.34,Top20,Europe,Gunshu (Staff),M,Superior,2,0,12,100%
Si Wei Jowen,SGP,9.32,17,4.7,2.62,2,1.33,Top20,Asia,Gunshu (Staff),M,Superior,1,0,12,100%
Dominic Chow,USA,9.31,18,4.8,2.51,2,1.24,Top20,America,Gunshu (Staff),M,Superior,2,0,12,100%
Nok In Wu,MAC,9.26,19,4.9,2.66,1.7,1.28,Top20,Asia,Gunshu (Staff),M,Superior,1,2,12,83%
Vladimir Maksimov,RUS,9.23,20,4.7,2.68,1.85,1.36,Top20,Russia,Gunshu (Staff),M,Superior,3,1,11,91%
Henry Yuji Nakata,BRA,9.2,21,4.8,2.4,2,1.31,Top30,America,Gunshu (Staff),M,Average,2,0,12,100%
Edgar Xavier Marvelo,INA,9.2,22,4.8,2.65,1.75,1.3,Top30,Asia,Gunshu (Staff),M,Superior,2,2,11,82%
Brandon Porfirio Da Silva,BRA,9.17,23,4.8,2.52,1.85,1.4,Top30,America,Gunshu (Staff),M,Superior,2,1,12,92%
Nicolas Oursel,FRA,9.16,24,4.9,2.41,1.85,1.38,Top30,Europe,Gunshu (Staff),M,Average,1,1,12,92%
Chirag Sharma,INA,9.07,25,4.7,2.52,1.85,1.28,Top30,Asia,Gunshu (Staff),M,Superior,3,1,12,92%
Mario Sanchez Martinez,ESP,9.02,26,4.7,2.32,2,1.37,Top30,Europe,Gunshu (Staff),M,Average,3,0,12,100%
Mattia Demaria,ITA,9,27,4.6,2.5,1.9,1.34,Top30,Europe,Gunshu (Staff),M,Average,4,1,11,91%
Daniel Narvaez Gomez,MEX,8.97,28,4.5,2.47,2,1.21,Top30,America,Gunshu (Staff),M,Average,5,0,12,100%
Melvin Tan,AUS,8.95,29,4.9,2.5,1.55,1.4,Top30,Oceanic,Gunshu (Staff),M,Average,1,2,12,83%
Yotekati Alejandro Guerrero Becerra,MEX,8.93,30,4.9,2.48,1.55,1.35,Top30,America,Gunshu (Staff),M,Average,1,2,12,83%
Amr Ibrahim Abdelrahman,IRI,8.85,31,4.7,2.45,1.7,1.36,Top40,MiddleEast,Gunshu (Staff),M,Average,3,2,12,83%
Nestor Urzainqui,ESP,8.67,32,4.5,2.32,1.85,1.36,Top40,Europe,Gunshu (Staff),M,Average,3,1,12,92%
Hector Miguel Toledo Toledo,CHI,8.63,33,4.8,2.33,1.5,1.53,Top40,America,Gunshu (Staff),M,Average,2,2,11,82%
Curtis Filmer,GBR,7.98,34,4.6,2.28,1.1,1.35,Top40,Europe,Gunshu (Staff),M,Average,3,6,13,54%
Renato Baio,BEL,7.04,35,4.6,2.24,0.2,1.44,Top40,Europe,Gunshu (Staff),M,Average,4,4,5,20%
Yaowen Zhang,CHN,9.71,1,5,2.71,2,1.29,Gold,China,Qiangshu (Spear),M,Superior,0,0,9,100%
Weng Son Wong,MAS,9.66,2,5,2.66,2,1.38,Top10,Asia,Qiangshu (Spear),M,Superior,0,0,10,100%
Wai Kin Yeap,MAS,9.64,3,5,2.64,2,1.33,Top10,Asia,Qiangshu (Spear),M,Superior,0,0,12,100%
Pavel Muratov,RUS,9.62,4,5,2.62,2,1.28,Top10,Russia,Qiangshu (Spear),M,Superior,0,0,12,100%
Muhammad Daffa Golden Boy,INA,9.52,5,5,2.62,1.9,1.4,Top10,Asia,Qiangshu (Spear),M,Superior,0,1,12,92%
Tomoya Okawa,JPN,9.51,6,4.9,2.61,2,1.44,Top10,Asia,Qiangshu (Spear),M,Superior,1,0,12,100%
Zhe Xuan Etienne Lee,SGP,9.5,7,4.9,2.6,2,1.36,Top10,Asia,Qiangshu (Spear),M,Superior,1,0,12,100%
Jason Chen-Leung,CAN,9.44,8,4.9,2.54,2,1.36,Top10,America,Qiangshu (Spear),M,Superior,1,0,12,100%
Erwein Wijayanto,INA,9.42,9,4.8,2.62,2,1.29,Top10,Asia,Qiangshu (Spear),M,Superior,2,0,12,100%
Anjul Namdeo,IND,9.34,10,4.9,2.44,2,1.27,Top10,India,Qiangshu (Spear),M,Average,1,0,12,100%
Leslie Kwan,CAN,9.29,11,4.8,2.49,2,1.4,Top20,America,Qiangshu (Spear),M,Average,2,0,12,100%
Chi Kuan Song,MAC,9.1,12,4.8,2.55,1.75,1.31,Top20,Asia,Qiangshu (Spear),M,Superior,2,1,10,90%
Benoit Denolle,FRA,9.01,13,4.7,2.31,2,1.38,Top20,Europe,Qiangshu (Spear),M,Average,3,0,12,100%
Christophe Huynh,GER,9,14,4.6,2.4,2,1.37,Top20,Europe,Qiangshu (Spear),M,Average,4,0,12,100%
Davide Demaria,ITA,8.97,15,4.7,2.27,2,1.37,Top20,Europe,Qiangshu (Spear),M,Average,3,0,12,100%
Aditya Kumar,IND,8.79,16,4.8,2.44,1.55,1.31,Top20,India,Qiangshu (Spear),M,Average,2,2,13,85%
Sean Sumida,BRA,8.78,17,4.8,2.28,1.7,1.32,Top20,America,Qiangshu (Spear),M,Average,2,2,12,83%
Juan Carlos Gomez Perez,MEX,8.41,18,4.6,2.26,1.55,1.41,Top20,America,Qiangshu (Spear),M,Average,4,2,12,83%
Dan Rio Rodriguez,ESP,8.33,19,4.4,2.18,1.75,1.32,Top20,Europe,Qiangshu (Spear),M,Average,6,2,12,83%
Hirst Urazov,KAZ,8.3,20,4.7,2.3,1.3,1.38,Top20,MiddleEast,Qiangshu (Spear),M,Average,3,5,14,64%
Ahmed Hassan Abdelsalam,EGY,8.13,21,4.1,2.18,1.85,1.47,Top30,MiddleEast,Qiangshu (Spear),M,Average,7,1,12,92%
Flavio Campanile,SUI,8.1,22,4.3,2.3,1.5,1.39,Top30,MiddleEast,Qiangshu (Spear),M,Average,7,2,12,83%
Reagan Tan,AUS,7.76,23,4.4,2.26,1.1,1.38,Top30,Oceanic,Qiangshu (Spear),M,Average,6,4,11,64%
Weng Son Wong,MAS,9.64,1,5,2.64,2,1.34,Gold,Asia,Jianshu (Straightsword),M,Superior,0,0,10,100%
Hasung Lee,KOR,9.6,2,5,2.6,2,1.45,Top10,Asia,Jianshu (Straightsword),M,Superior,0,0,12,100%
Wai Kin Yeap,MAS,9.53,3,4.9,2.63,2,1.27,Top10,Asia,Jianshu (Straightsword),M,Superior,1,0,12,100%
Erwein Wijayanto,INA,9.49,4,4.9,2.59,2,1.31,Top10,Asia,Jianshu (Straightsword),M,Superior,1,0,11,100%
Muhammad Daffa Golden Boy,INA,9.47,5,4.9,2.57,2,1.39,Top10,Asia,Jianshu (Straightsword),M,Superior,1,0,12,100%
Tomoya Okawa,JPN,9.44,6,5,2.54,1.9,1.33,Top10,Asia,Jianshu (Straightsword),M,Superior,0,1,12,92%
Madhi Mokhtarpourdehkordi,IRI,9.43,7,4.9,2.53,2,1.28,Top10,MiddleEast,Jianshu (Straightsword),M,Superior,1,0,13,100%
Chi Kuan Song,MAC,9.38,8,4.8,2.58,2,1.34,Top10,Asia,Jianshu (Straightsword),M,Superior,2,0,11,100%
Brian Wang,USA,9.37,9,4.9,2.47,2,1.32,Top10,America,Jianshu (Straightsword),M,Average,1,0,12,100%
Zhe Xuan Etienne Lee,SGP,9.33,10,4.9,2.53,1.9,1.33,Top10,Asia,Jianshu (Straightsword),M,Superior,1,1,12,92%
Anjul Namdeo,IND,9.3,11,4.8,2.5,2,1.3,Top20,India,Jianshu (Straightsword),M,Average,2,0,12,100%
Pavel Muratov,RUS,9.25,12,4.8,2.6,1.85,1.27,Top20,Russia,Jianshu (Straightsword),M,Superior,2,1,11,91%
Sam Mak,GBR,9.24,13,4.9,2.44,1.9,1.34,Top20,Europe,Jianshu (Straightsword),M,Average,1,1,12,92%
Juan Carlos Gomez Perez,MEX,9.07,14,4.7,2.37,2,1.39,Top20,America,Jianshu (Straightsword),M,Average,3,0,11,100%
Ahmed Hassan Abdelsalam,EGY,8.92,15,4.7,2.22,2,1.32,Top20,MiddleEast,Jianshu (Straightsword),M,Average,3,0,12,100%
Marcio De Oliveira Coutinho,BRA,8.81,16,4.6,2.31,1.9,1.32,Top20,America,Jianshu (Straightsword),M,Average,4,1,12,92%
John-nun Tang,NED,8.79,17,4.6,2.29,1.9,1.3,Top20,Europe,Jianshu (Straightsword),M,Average,4,1,12,92%
